country,continent,population,Cases,Recovered,Deaths,Tests,year,month,day_of_month,hour
216,5,107749.0,16950,15638.0,13.0,535009.0,2024,6,30,16
132,5,60057.0,16138,16121.0,17.0,2226216.0,2024,6,30,16
61,4,72344.0,16038,15964.0,74.0,229344.0,2024,6,30,16
35,0,5016678.0,15440,15200.0,113.0,81294.0,2024,6,30,16
181,4,39730.0,12324,235145.5,63.0,112382.0,2024,6,30,16
235,2,31154867.0,11945,9124.0,2159.0,329592.0,2024,6,30,16
203,4,111551.0,9674,9493.0,124.0,114197.0,2024,6,30,16
8,4,99509.0,9106,8954.0,146.0,18901.0,2024,6,30,16
190,0,8306436.0,7779,235145.5,126.0,259958.0,2024,6,30,16
30,4,30596.0,7392,235145.5,64.0,107339.0,2024,6,30,16
49,5,17571.0,7203,7150.0,2.0,19690.0,2024,6,30,16
185,0,227679.0,6778,6685.0,80.0,29600.0,2024,6,30,16
220,4,39741.0,6752,6709.0,40.0,616788.0,2024,6,30,16
163,5,18233.0,6290,6276.0,10.0,71434.0,2024,6,30,16
7,4,15230.0,3904,235145.5,12.0,51382.0,2024,6,30,16
53,4,165529.0,45986,44720.0,295.0,496693.0,2024,6,30,16
103,3,85732.0,38008,235145.5,116.0,150753.0,2024,6,30,16
41,4,67277.0,31472,8553.0,37.0,222773.0,2024,6,30,16
48,0,5797805.0,25375,24006.0,386.0,347815.0,2024,6,30,16
196,0,16841795.0,27334,13182.0,1361.0,400466.0,2024,6,30,16
136,0,286259.0,42027,235145.5,188.0,176919.0,2024,6,30,16
16,4,400516.0,38084,36366.0,844.0,257839.0,2024,6,30,16
11,4,107609.0,44224,42438.0,292.0,177885.0,2024,6,30,16
126,0,29178077.0,68486,66862.0,1426.0,531329.0,2024,6,30,16
36,0,567678.0,64477,63755.0,417.0,401622.0,2024,6,30,16
204,0,45992020.0,63993,58947.0,5046.0,562941.0,2024,6,30,16
134,0,4901981.0,63848,62471.0,997.0,1009957.0,2024,6,30,16
25,2,787941.0,62697,61564.0,21.0,2303734.0,2024,6,30,16
208,2,19364809.0,57743,54578.0,3165.0,146269.0,2024,6,30,16
34,0,12624840.0,54721,53569.0,38.0,345742.0,2024,6,30,16
189,0,99426.0,51220,51048.0,172.0,2226216.0,2024,6,30,16
79,0,2331533.0,49051,48674.0,307.0,1621909.0,2024,6,30,16
5,3,77463.0,48015,235145.5,165.0,249838.0,2024,6,30,16
166,5,9292169.0,46864,46168.0,670.0,249149.0,2024,6,30,16
211,0,63298550.0,43223,235145.5,846.0,2226216.0,2024,6,30,16
135,0,1274727.0,43025,41278.0,1051.0,358675.0,2024,6,30,16
214,0,8680837.0,39572,39281.0,290.0,815204.0,2024,6,30,16
90,0,13865691.0,38572,37757.0,468.0,660107.0,2024,6,30,16
118,0,2175699.0,36138,25980.0,723.0,431221.0,2024,6,30,16
93,4,11680283.0,34667,33734.0,860.0,132422.0,2024,6,30,16
72,3,49233.0,34658,235145.5,28.0,778000.0,2024,6,30,16
130,0,21473764.0,33164,32332.0,743.0,804909.0,2024,6,30,16
180,4,185113.0,30215,29805.0,410.0,210983.0,2024,6,30,16
23,0,12784726.0,28036,27847.0,163.0,604310.0,2024,6,30,16
125,2,667490.0,27673,3487.0,123.0,7850.0,2024,6,30,16
138,5,117489.0,26547,235145.5,65.0,82430.0,2024,6,30,16
184,3,34085.0,26185,26011.0,128.0,196855.0,2024,6,30,16
195,5,721159.0,25954,235145.5,199.0,2226216.0,2024,6,30,16
77,6,314169.0,98041,11254.0,420.0,651257.0,2024,6,30,16
43,3,176463.0,101717,101321.0,228.0,1252808.0,2024,6,30,16
114,2,6728271.0,206897,196406.0,2991.0,1907195.0,2024,6,30,16
74,5,909466.0,69117,67226.0,885.0,672883.0,2024,6,30,16
205,6,596831.0,82588,235145.5,1408.0,242207.0,2024,6,30,16
88,4,399794.0,203235,235145.5,1021.0,938039.0,2024,6,30,16
65,4,6550389.0,201855,179410.0,4230.0,2610114.0,2024,6,30,16
217,4,1406585.0,191496,187078.0,4390.0,913289.0,2024,6,30,16
129,2,540985.0,186694,163687.0,316.0,2213831.0,2024,6,30,16
147,0,2633874.0,172389,167099.0,4106.0,1062663.0,2024,6,30,16
225,0,48432863.0,172149,100431.0,3632.0,3012408.0,2024,6,30,16
83,0,32395450.0,171889,170425.0,1462.0,2541625.0,2024,6,30,16
